IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,340,0.79
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,319,0.79
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,312,0.77
34.89.250.229,443,443,true,FRA,Europe,Frankfurt,266,0.77
34.65.254.125,443,443,true,FRA,Europe,Frankfurt,302,0.77
34.116.143.235,443,443,true,FRA,Europe,Frankfurt,336,0.77
34.34.37.231,443,443,true,FRA,Europe,Frankfurt,359,0.76
34.116.198.138,443,443,true,FRA,Europe,Frankfurt,463,0.72
34.116.167.231,443,443,true,FRA,Europe,Frankfurt,329,0.71
34.118.85.198,443,443,true,FRA,Europe,Frankfurt,376,0.71
34.118.5.47,443,443,true,FRA,Europe,Frankfurt,340,0.71
34.154.244.251,443,443,true,FRA,Europe,Frankfurt,291,0.70
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,295,0.70
34.118.45.49,443,443,true,FRA,Europe,Frankfurt,333,0.68
34.118.45.49,443,443,true,FRA,Europe,Frankfurt,291,0.68
34.116.253.105,443,443,true,FRA,Europe,Frankfurt,330,0.68
34.116.252.167,443,443,true,FRA,Europe,Frankfurt,279,0.66
34.118.20.131,443,443,true,FRA,Europe,Frankfurt,278,0.65
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,289,0.64
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,322,0.64
34.118.20.131,443,443,true,FRA,Europe,Frankfurt,354,0.63
34.91.252.156,443,443,true,FRA,Europe,Frankfurt,344,0.63
34.116.255.149,443,443,true,FRA,Europe,Frankfurt,380,0.63
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,281,0.63
34.118.20.193,443,443,true,FRA,Europe,Frankfurt,278,0.61
34.107.109.255,443,443,true,FRA,Europe,Frankfurt,357,0.61
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,276,0.61
34.116.181.113,443,443,true,FRA,Europe,Frankfurt,334,0.60
34.118.99.127,443,443,true,FRA,Europe,Frankfurt,339,0.60
34.118.73.127,443,443,true,FRA,Europe,Frankfurt,279,0.60
34.118.46.98,443,443,true,FRA,Europe,Frankfurt,296,0.59
34.116.253.105,443,443,true,FRA,Europe,Frankfurt,289,0.59
34.116.172.58,443,443,true,FRA,Europe,Frankfurt,369,0.59
34.118.89.90,443,443,true,FRA,Europe,Frankfurt,296,0.58
34.118.13.78,443,443,true,FRA,Europe,Frankfurt,268,0.57
34.118.117.154,443,443,true,FRA,Europe,Frankfurt,279,0.57
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,382,0.57
34.118.57.162,443,443,true,FRA,Europe,Frankfurt,280,0.57
34.118.5.47,443,443,true,FRA,Europe,Frankfurt,279,0.57
34.118.65.49,443,443,true,FRA,Europe,Frankfurt,280,0.56
34.118.39.217,443,443,true,FRA,Europe,Frankfurt,283,0.55
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,295,0.55
34.116.181.113,443,443,true,FRA,Europe,Frankfurt,279,0.54
34.116.238.7,443,443,true,FRA,Europe,Frankfurt,326,0.54
34.118.54.138,443,443,true,FRA,Europe,Frankfurt,286,0.54
34.118.61.68,443,443,true,FRA,Europe,Frankfurt,280,0.52
34.118.39.217,443,443,true,FRA,Europe,Frankfurt,352,0.51
34.118.2.210,443,443,true,FRA,Europe,Frankfurt,346,0.51
34.65.36.57,443,443,true,FRA,Europe,Frankfurt,315,0.51
34.65.254.125,443,443,true,FRA,Europe,Frankfurt,294,0.50
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,312,0.49
34.118.2.210,443,443,true,FRA,Europe,Frankfurt,281,0.49
34.118.111.34,443,443,true,FRA,Europe,Frankfurt,306,0.47
34.116.255.60,443,443,true,FRA,Europe,Frankfurt,281,0.46
34.159.111.74,443,443,true,FRA,Europe,Frankfurt,347,0.46
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,108,0.46
34.118.99.127,443,443,true,FRA,Europe,Frankfurt,323,0.45
34.118.107.144,443,443,true,FRA,Europe,Frankfurt,275,0.45
